IR_PPG,Red_PPG
-1.08425019854991,-0.966622546379519
-1.08953561039552,-0.964907319169266
-1.08556313814281,-0.95505284234367
-1.07566052525735,-0.94158846456966
-1.06362689201298,-0.928724460171184
-1.05278137278651,-0.919743694938685
-1.04511679008176,-0.916699714103008
-1.04093123513475,-0.920291399708941
-1.03908452814919,-0.929809410854874
-1.03773210414197,-0.943235141567527
-1.03518407804738,-0.957635638188732
-1.03052383867113,-0.969825219873515
-1.02378202770796,-0.977081819687367
-1.01569091073705,-0.977706374834261
-1.0072170709563,-0.971304494270653
-0.999106179848483,-0.95872901062941
-0.991576951479164,-0.941710037803738
-0.984177296635447,-0.922347632473868
-0.975787320342302,-0.902679549198586
-0.964815526039051,-0.884350944943167
-0.949641862539774,-0.868242106328146
-0.929220924551955,-0.854063624049403
-0.903574057143975,-0.840243265338114
-0.873867167923978,-0.824408777178545
-0.841964589452526,-0.804336900087564
-0.80963904345359,-0.778856548868247
-0.777805767031676,-0.748202762246633
-0.746147160139149,-0.7136479196902
-0.713330653864836,-0.676684639101203
-0.677745996157175,-0.638326921024844
-0.638398918565479,-0.598951791972551
-0.595480824489275,-0.558627351799186
-0.550301382160746,-0.51754122371446
-0.504632490353959,-0.476204251932071
-0.459852430205611,-0.435351622036327
-0.416387554820873,-0.39563929985501
-0.373735493381861,-0.357298624936815
-0.330962137403578,-0.319921001895851
-0.28730026029064,-0.282507987797745
-0.242516835002772,-0.243806693500816
-0.19694540246526,-0.202772607858088
-0.151273792885186,-0.158903227812949
-0.106237349427378,-0.112285258147366
-0.0623369510400303,-0.0634046804881953
-0.0196538213665969,-0.0129029208782022
0.0221925883258995,0.0385549953974366
0.0639180739889938,0.0902702077504929
0.106310065971882,0.14145223832623
0.149940579719554,0.191206608510595
0.195001284144666,0.238607872813649
0.241341573293379,0.282908291325297
0.288666644627344,0.323912229239192
0.336752931944435,0.362381882751391
0.385539363390549,0.400173070573459
0.435063499710197,0.439866528904738
0.485335159574676,0.483963127565557
0.536263843364016,0.533998806253191
0.58767565749126,0.589975816584769
0.639359729123147,0.650308336120922
0.691059306685331,0.71222316193747
0.742391509039162,0.772411017700608
0.79278053893526,0.827748986874654
0.841520381710196,0.876019374172543
0.888005280333827,0.91657131500776
0.932042640300091,0.950760936235571
0.974091302514451,0.98189944464238
1.01529620870023,1.01451290236141
1.05728665039684,1.05302774393876
1.10180300087919,1.10038505528722
1.1502805202315,1.15722861474021
1.20352568435571,1.22200221912228
1.26153496607358,1.29174012164374
1.3233791702466,1.36299876124565
1.38705936035799,1.43245597133753
1.44936966458476,1.49698832697196
1.50591895171002,1.55330260813641
1.55143662542721,1.59741541477475
1.58036276390937,1.62441186466457
1.58760355728308,1.62884679047791
1.56926879917564,1.60585201578812
1.52322088832318,1.55262323555136
1.4557520112471,1.47722346497875
1.37289946967571,1.38658425851431
1.27621351967464,1.28242225252536
1.16724441730956,1.16645408337921
1.0475424186461,1.04039638744317
0.918657779749904,0.905965801084555
0.782140756686631,0.764878960670668
0.63954160552192,0.618852502568826
0.49241058232142,0.469603063146339
0.342297943150775,0.318847278770519
0.190753944075633,0.168301785808678
0.0393288411616402,0.0196832206281253
-0.110427109525558,-0.125291780403826
-0.256963651920314,-0.264906580919866
-0.398730529956984,-0.397444544552682
-0.534177487569919,-0.521189034934964
-0.661754268693473,-0.634783677917819
-0.779910617262001,-0.739288297324856
-0.887096277209856,-0.833951698653288
-0.9783364478456,-0.917644371282126
-1.05637672914054,-0.988619844187557
-1.11937342045652,-1.04486829079262
-1.16628903216266,-1.08491990668028
-1.1969607483531,-1.10857904009316
-1.21210726452877,-1.11721313830838
-1.21333105369391,-1.11365501545151
-1.20313147960644,-1.10194431236532
-1.1848607848624,-1.08691773888368
-1.16249332614204,-1.07347880337037
-1.14012300820637,-1.06555728437135
-1.12125867152996,-1.06512733997989
-1.10813189284482,-1.07177491236003
-1.10125426606121,-1.0830346513024
