IR_PPG,Red_PPG
-1.00696616508651,-1.14089456180142
-0.980181742271793,-1.10410871478281
-0.943709493150825,-1.05726977624674
-0.895498691891489,-0.997960180373393
-0.834766805167488,-0.925225290407121
-0.762414673314161,-0.839830783151431
-0.681030505213594,-0.744150630930648
-0.594527880784014,-0.641860295248277
-0.507535577064742,-0.537571745845086
-0.424688923641724,-0.436427890679563
-0.349961417422904,-0.343567897736219
-0.286152709425865,-0.263422386425927
-0.234626109953542,-0.198998578727552
-0.1953425838078,-0.151461567968469
-0.167158451160468,-0.120219569479822
-0.148273989836526,-0.103443943922589
-0.136689091132798,-0.0987421260274641
-0.130551987485939,-0.103698058189418
-0.128343305305729,-0.116129249737275
-0.128885704407136,-0.134044856362977
-0.131208383141125,-0.155384225085876
-0.134339811031733,-0.177697473056055
-0.137140471198569,-0.197987196120551
-0.138281489046659,-0.212898606779164
-0.136407585683605,-0.2192871587374
-0.130430790743689,-0.214972977718591
-0.119835705004161,-0.199350465919095
-0.104854197932356,-0.17355685734312
-0.086388758804582,-0.140093939895837
-0.0656518961542283,-0.102037616187693
-0.0436452497204784,-0.0621417868087637
-0.0207361314754981,-0.0221661187700566
0.00342956755172932,0.0173654027524908
0.0296296783393999,0.0569526967035982
0.0585584049770732,0.0975869430993699
0.0903792007632009,0.140118203091813
0.12453382619004,0.184763781828775
0.159848023475931,0.230932919019121
0.194850899666425,0.277397411762119
0.228183024020839,0.322682709343901
0.258976201524368,0.365486253656157
0.287094573124852,0.404974495536204
0.313134707066632,0.440903774750693
0.338145450427686,0.47357321241763
0.363157754349354,0.503633854868674
0.388724768856654,0.531799032055234
0.414670686026086,0.558553738411736
0.440143323378845,0.583992990947022
0.463939551632845,0.607874498705372
0.484976342720845,0.629864968969531
0.502727959959628,0.649842314861764
0.517457933767707,0.668044644057342
0.530155417122117,0.684915893285707
0.542215015295949,0.700722448972323
0.555012686363845,0.715247938640628
0.569558139328909,0.727849827427427
0.58632671572199,0.737845752747956
0.605255524955766,0.744909561748453
0.62583382287786,0.749216932092978
0.647260977216564,0.751405265098269
0.668701532131578,0.752601418535936
0.689621606827269,0.754577398463276
0.710039335679834,0.759722013049752
0.730401456094497,0.770393797826556
0.750875953068176,0.787527045972273
0.77015863779704,0.808874232056482
0.784262403625903,0.82763865745868
0.785949764048002,0.832303583388867
0.765349854266917,0.79721039000774
0.706945773193375,0.699533141292697
0.598538533207529,0.550675334386248
0.450376759076673,0.3620404664309
0.272709075568102,0.145032034569163
0.0757841074491104,-0.0889464640564561
-0.130149520513009,-0.328491532303448
-0.33484318355096,-0.562199673029303
-0.528048256897449,-0.778667389091515
-0.699516115785183,-0.966491183347573
-0.838998135446867,-1.11426755865497
-0.936245691115205,-1.2105930178712
-0.992199846204346,-1.26043289830388
-1.0221856417028,-1.28242102453267
-1.03430329426088,-1.28681778351306
-1.03558436471494,-1.28167394717106
-1.03084346508082,-1.27171395198558
-1.02213674692889,-1.25814099904868
-1.00885374221207,-1.23922868123632
-0.988414553311693,-1.21147051776062
-0.957414575660223,-1.17097818798608
-0.912920872901593,-1.11477890614174
-0.853567739694501,-1.04172356629098
-0.780159800781859,-0.952879029536207
-0.695654586010094,-0.851443439157221
-0.604606137605035,-0.742297539731367
-0.51231179158928,-0.631305231711455
-0.423936629673716,-0.524480070214372
-0.343808044194183,-0.427154283303837
-0.274968023923212,-0.34328874271993
-0.219005355046303,-0.275046126003978
-0.176149911929107,-0.222724151523815
-0.145566998672765,-0.185078450856982
-0.125746034149835,-0.15993825741517
-0.114859838739669,-0.144891080982495
-0.11099883568333,-0.137772867087661
-0.112257841392552,-0.136796046842534
-0.116735855331168,-0.140344647900531
-0.122547480004241,-0.146642170873858
-0.127915656420482,-0.153543830133333
-0.131345109494884,-0.158615705277633
-0.131805269339794,-0.159502906357737
-0.128816167712309,-0.154428119634559
-0.122361358212973,-0.142580238406483
-0.112647763852355,-0.124201374494894
-0.0998367807663765,-0.100327489571777
-0.0839011893358802,-0.0723011902138293
-0.0646827639126794,-0.041282091092234
-0.0420933455368945,-0.0079772579614305
-0.0163227765750995,0.0273083284057741
0.0120592078251147,0.0643769406370823
0.0421402330145883,0.10280019197015
0.0728170959365541,0.141748679388946
0.103020779932945,0.180091440959258
0.131955688757793,0.216704349183799
0.1592623828856,0.250808755943204
0.185020748637783,0.282160994141168
0.209590717294556,0.311024646307953
0.23338212478328,0.337999660109082
0.256672639516515,0.363842316871967
0.279544841676755,0.389338259573255
0.301939177624642,0.415176533031789
0.323756815349313,0.441762582465798
0.344919112507313,0.469019282141488
0.365324957837258,0.496314243950354
0.384739310774672,0.522607277313761
0.402728353937227,0.54678015450215
0.418744382440624,0.568003819846587
0.432351665408817,0.585979952242631
0.443469684585174,0.600968234881943
0.452488537071633,0.613627589366472
0.460186305157696,0.62477868224974
0.467488724886858,0.635196990286068
0.475192706544571,0.645492690290502
0.483781303675642,0.656066074237997
0.493391843979703,0.667095446942707
0.503920596805111,0.678556916962112
0.515205257754489,0.690338711774532
0.527216250300759,0.702484459246845
0.54018854812173,0.715472579092294
0.554622014863035,0.730324681920403
0.571065394433733,0.748318654262794
0.589617147348863,0.770184265266975
0.609185754630173,0.794896051706241
0.62673926516245,0.818491197351073
0.636926283688275,0.833533424676342
0.632435079498583,0.829732245433167
0.605220260775942,0.79538031103373
0.545202985723715,0.710137035837747
0.447166861118011,0.58318757681382
0.319473511305471,0.423717090930551
0.170484560632738,0.24091073515654
0.0085616334464533,0.0439536664603886
-0.157933645906741,-0.157968958189301
-0.320639653080202,-0.355671981823929
-0.471194763727288,-0.539970247474894
-0.601237353501357,-0.701678598173594
-0.702405798055767,-0.831611876951428
-0.772092417303345,-0.920584926839795
-0.816495135780349,-0.970578610720862
-0.840223628674192,-0.99730420088171
-0.84835731983813,-1.00672289500206
-0.845402133862361,-1.00387349441017
-0.834516197033092,-0.992251755077092
-0.817089605654403,-0.973435997076924
-0.792776238364155,-0.947050495251308
-0.760030847358051,-0.911206381835179
-0.717057144273112,-0.863419783276131
-0.662883148975571,-0.80178818101969
-0.59818332558365,-0.72608573397306
-0.525551846621849,-0.638459348541052
-0.449156648405064,-0.543509233517068
-0.373939869105494,-0.447684318539786
-0.304664398055105,-0.358105446228074
-0.245106767497301,-0.281120045192613
-0.197595922862061,-0.221030284760235
-0.162946477541886,-0.179426724574978
-0.140691307038122,-0.155334261723478
-0.12944465734035,-0.146009644442455
-0.127251611754332,-0.147938939692583
-0.131862425444556,-0.157578143347175
-0.140937627142631,-0.171660679324462
-0.152206956016555,-0.18722161503327
-0.163595730036015,-0.201604496807297
-0.173326699617647,-0.212595276261242
-0.180002530575375,-0.218639691072253
-0.182665258087788,-0.219002771307761
-0.180819175173453,-0.213753391963771
-0.174399030227899,-0.203548722379357
-0.163676435992197,-0.189288726241522
-0.149131196067264,-0.171771786002558
-0.13134174366267,-0.151482196107084
-0.110928316567001,-0.128561980305184
-0.0885284037039435,-0.102913310233332
-0.0647551291168183,-0.0743437687194183
-0.0401112142309232,-0.0427155951159527
-0.0148794200527155,-0.00808907508028832
0.0109516703671053,0.029185401903156
0.037668773441577,0.0684861773273706
0.0657118198571721,0.109040766516985
0.0954979083240137,0.150065006427817
0.127255797956817,0.19085980636637
0.160899116479049,0.230884960526926
0.195939353463927,0.269844533323816
0.231462975237443,0.307736480029223
0.266222002657071,0.344753264629123
0.298851312285443,0.38099232497953
0.328154871043825,0.416122421894478
0.35337040197841,0.449271999579507
0.374339950329471,0.47929247618892
0.391540609756899,0.505272231519803
0.405954557801635,0.526994963083855
0.418801374027979,0.545092002329451
0.431209271941346,0.560834288934981
0.443932181660364,0.575690530056683
0.45721054739291,0.590864154954857
0.470823267654521,0.606990836000338
0.484295509062269,0.624069468623413
0.497153474097911,0.641597771883693
0.509107807912254,0.658837712712356
0.520114292927575,0.675137649016143
0.530352941085092,0.690260813366619
0.540212893737847,0.704672749702867
0.550336922989582,0.719697369159489
0.561691457445355,0.737408072392578
0.575542486056901,0.760151996656704
0.593186953151414,0.78971397571839
0.615352641036597,0.826246988685755
0.641343342443496,0.867191110956358
0.668203778121036,0.906493066063997
0.690286740061576,0.934516107771287
0.699541199815381,0.938996302598131
0.68663645751408,0.906500193071607
0.642776464827963,0.815843906371969
0.555233804110625,0.677275505319116
0.43261465923917,0.50104305273295
0.283525214090699,0.29739461143337
0.116571652542315,0.0765782442402764
-0.0596398415288794,-0.15115798602643
-0.236503084245782,-0.375566016546849
-0.405411891731291,-0.586397784501081
-0.557760080108304,-0.773405227069224
-0.684941465499718,-0.92634028143138
-0.77834986402843,-1.03495488476765
