IR_PPG,Red_PPG
-1.80805938363464,-1.81211964367833
-1.78385438308009,-1.77992684797495
-1.73674283290721,-1.72443159004614
-1.6679277277194,-1.64879769339913
-1.58096353230014,-1.55807434503472
-1.48133868595028,-1.45858413949367
-1.37690048211947,-1.35715076635878
-1.27481853743942,-1.26025976625186
-1.18116749306905,-1.17316467072627
-1.10041810636841,-1.09904004866978
-1.03420714021816,-1.03849294213556
-0.981575500778016,-0.989738917101311
-0.939571493477823,-0.949417993197673
-0.904194803190365,-0.913679409426885
-0.871368579589059,-0.879090281648355
-0.837663085053754,-0.843126434374203
-0.800637751542016,-0.804286286750196
-0.758845598550163,-0.761973987249595
-0.711643439109295,-0.716195013626127
-0.658942332023837,-0.66707034575298
-0.600972272803664,-0.614312380656253
-0.538087791218387,-0.556929978292465
-0.470652175339092,-0.493403380625818
-0.399026880415248,-0.422343025755592
-0.323651066996165,-0.343315371908195
-0.245172312658121,-0.257365739518248
-0.164532392154357,-0.166905564513485
-0.0828870922353627,-0.0749341179364193
-0.00134005648743049,0.0160604995175774
0.0793859928278989,0.104938731076573
0.159165552487196,0.192041553336484
0.238475260083226,0.278638308800872
0.318195327719255,0.366099142148724
0.399277666116482,0.455234543258701
0.48239226177397,0.546031682383355
0.567651419796571,0.637764217754015
0.654464913368255,0.729328953915179
0.741571564479166,0.819650723832305
0.827278858877035,0.907986962273566
0.909880704984388,0.994035780820827
0.988121846142428,1.0778575063427
1.06150287664559,1.15966667720405
1.13027955223121,1.23955165212651
1.19518288581668,1.31716475013284
1.25700016942996,1.3914814587602
1.31620978580185,1.46082123791487
1.37288062345129,1.52330989483993
1.42696082502998,1.57774648781002
1.47888238879472,1.6245286099448
1.53017080083361,1.66619509487901
1.58363496011358,1.70730026130427
1.64284550938736,1.75348426593388
1.71085324510877,1.8097004303979
1.78833231605949,1.87782108204427
1.8715912980726,1.95427360559365
1.95115137771825,2.02861494418812
2.01167516716739,2.08381153897593
2.03376175388776,2.09856490076461
1.99975638929817,2.05294296433599
1.89467275028824,1.93536791693255
1.72374033461925,1.75312468088421
1.49826028997395,1.51753003950456
1.22953376403506,1.23990077610716
0.928861904485343,0.931553674005589
0.607545859007528,0.603805516513432
0.276886775284356,0.267973086944262
-0.0518141990014305,-0.0646268313883452
-0.367255916167092,-0.382677455170811
-0.658137228529888,-0.67486200108956
-0.913156988407078,-0.929863685831015
-1.12101404811592,-1.1363657260816
-1.27040725997368,-1.28305133852774
-1.3579483547325,-1.36736379009109
-1.43363816815231,-1.44068934375072
-1.50128632528286,-1.50638236124987
-1.56181910117555,-1.56519378496616
-1.61404204746404,-1.61593598215471
-1.65543668013613,-1.6560904864045
-1.68278750715645,-1.68229818542088
-1.69267799219103,-1.69086108642822
-1.68200032302693,-1.67837021352168
-1.64857416094965,-1.64247638940947
-1.59184580574447,-1.58267592998142
-1.51347684417908,-1.50087614848232
-1.41622059511489,-1.40027112376259
-1.3091602313684,-1.29027669990496
-1.19852621119138,-1.1781992594701
-1.09054899283559,-1.07134518501868
-0.991409205421729,-0.976255265953855
-0.905418504583828,-0.897334124204417
-0.834022448532473,-0.835176539702613
-0.776500650805423,-0.78733821417984
-0.730424631577504,-0.749464770324068
-0.692320952375072,-0.716774247544574
-0.658368109007419,-0.685328965322626
-0.625032632026621,-0.652694168935446
-0.589539006208663,-0.617896658980652
-0.550082197778808,-0.580894600967161
-0.505774327552552,-0.541904597882468
-0.456432983256505,-0.500870679250882
-0.402351560877211,-0.457212720014179
-0.344103694623762,-0.409886090412712
-0.282365552722382,-0.357703828830344
-0.21777959871391,-0.299792545675638
-0.150913224161666,-0.23598509672484
-0.0822799667880033,-0.166956657708722
-0.0123240674675798,-0.0940028324011678
0.0586632834866459,-0.0185096930966749
0.130628376371951,0.0586105299072872
0.203758513534278,0.137157329899322
0.27837964557146,0.217424877858696
0.354775686774249,0.299706595872868
0.433003064711368,0.383803804435468
0.512783265321916,0.468761260893139
0.593473618567134,0.552958239945606
0.67407576965505,0.634541090668096
0.753312160418422,0.712019531484548
0.829813323152013,0.784735857978213
