IR_PPG,Red_PPG
-1.39833653867071,-1.42683673567482
-1.34683005812035,-1.36187269520458
-1.29609055092442,-1.29975491801532
-1.25389060837041,-1.24873366411025
-1.22244625271095,-1.2111046298119
-1.20005541506324,-1.18477758808603
-1.18261746529826,-1.16496514847258
-1.16485881666831,-1.14566421757455
-1.14134501505713,-1.12079589259687
-1.10738683376183,-1.08510780523155
-1.05986845077749,-1.0350032121631
-0.997930480543196,-0.969252354595508
-0.923350149156834,-0.889403356391132
-0.840448641791612,-0.799745000830469
-0.755463230165425,-0.706731940252349
-0.675483431495014,-0.61795332410995
-0.607183595190855,-0.540913553350361
-0.555643644602927,-0.481863053546393
-0.523499541807505,-0.444767017091514
-0.51054230547458,-0.430476989890872
-0.513774378059797,-0.436346056157716
-0.527899836382044,-0.456573037440796
-0.546218852502645,-0.483261974268694
-0.561799052946525,-0.507875627382983
-0.568659920045746,-0.522678393452451
-0.56264876476371,-0.521834241597451
-0.54177078727919,-0.502018339571433
-0.505974388827719,-0.462612613553732
-0.456640756914119,-0.405591900450995
-0.39607030790544,-0.335092740930588
-0.327073841316088,-0.256639303768771
-0.252599584549838,-0.176090876439418
-0.175337399000744,-0.0984534526234528
-0.0973306617755531,-0.0267917118359406
-0.0196826549267903,0.0384753754363726
0.0575224950333839,0.0996165151712335
0.135012768126046,0.160812337677619
0.213882189346061,0.226738530037694
0.295029168931824,0.300946004086089
0.378629539010411,0.384534483899401
0.463810978483572,0.475574966492863
0.548674240894744,0.569533733617217
0.630699581659126,0.66055552782555
0.707393651458709,0.743130806225465
0.776928279655683,0.813571230296092
0.838592386723848,0.870858679717833
0.892975794773719,0.916753259489774
0.941848371317845,0.955306982472014
0.987732536346627,0.991935114877078
1.03322485080075,1.0320875164937
1.08023510394197,1.07970803239003
1.12940594259083,1.13596101460979
1.17996977452632,1.19877236695175
1.23019498634409,1.26355477409294
1.27838304525345,1.32504638794461
1.3241378681119,1.37964969654034
1.36942917706196,1.42743626169313
1.4189385927248,1.47306219593267
1.47931267877365,1.52501479404153
1.55714221732046,1.59293397588082
1.65722916786026,1.68332375369305
1.775636072869,1.79636364103878
1.89305666536241,1.91356472941963
1.98986489429005,2.01366200548314
2.03392346907677,2.05885055337155
1.95967870717151,1.98269918052639
1.75525407614641,1.77310716574603
1.44811405803755,1.4583676646632
1.06572313488099,1.06677383291061
0.635545788712783,0.626618826120978
0.185046501568997,0.16619579992702
-0.258310244514307,-0.286202090038549
-0.667059967501067,-0.702281688143012
-1.01373818535522,-1.05374983875366
-1.27088041604071,-1.31231338623776
-1.41102217752147,-1.44967917496261
-1.44761314876045,-1.48184010567698
-1.43781146260658,-1.46572390197769
-1.40478461429752,-1.42442841007731
-1.36572370991128,-1.37607527954949
-1.33110645323073,-1.3331002648696
-1.30564553613052,-1.302596800549
-1.28993463084791,-1.28698478676468
-1.28201329547073,-1.28468910806393
-1.27847681820495,-1.29082365585222
-1.27513018493108,-1.29805071433918
-1.26739882454214,-1.29781872462718
-1.25075261177638,-1.28198377204778
-1.22128885470463,-1.24455338982795
-1.17643865991083,-1.18313536019205
-1.11563581833997,-1.09967443518067
-1.0407528759188,-1.00018416351164
-0.956130670340998,-0.893487520707403
-0.868091569530818,-0.789401130944152
-0.783938379162735,-0.696971798309237
-0.710620094655302,-0.62314900906969
-0.653414929276056,-0.571957572185792
-0.615003893007017,-0.544096352138628
-0.595140103774587,-0.536951849053581
-0.590883531332062,-0.54513625866735
-0.597260203791043,-0.561537783110868
-0.608193140906648,-0.578650475866918
-0.617511388394914,-0.58987811793772
-0.619828939741193,-0.590521326197284
-0.611162395512646,-0.578226994202255
-0.589250279058205,-0.552826441241828
